,AR,SI,SG,VV,cs,mcs,smir,smer,bfio,bfin,bfic,bfia,bfie
183,Active,Sensory,Sequential,Visual,3,3,3,3,4,2,2,4,4
184,Active,Sensory,Global,Visual,4,3,3,3,4,4,3,4,4
185,Active,Sensory,Sequential,Visual,4,4,4,4,4,3,2,4,2
186,Active,Sensory,Global,Visual,2,2,3,3,4,4,3,2,1
187,Active,Sensory,Sequential,Visual,3,3,3,3,4,3,2,2,4
188,Active,Sensory,Sequential,Visual,3,3,3,3,4,2,4,4,3
189,Reflective,Intuitive,Sequential,Visual,2,2,2,3,5,3,3,4,2
190,Active,Sensory,Sequential,Visual,4,4,3,4,3,2,2,2,4
191,Reflective,Sensory,Sequential,Visual,2,3,3,4,2,3,2,3,4
192,Reflective,Intuitive,Global,Visual,3,3,3,3,4,4,2,4,2
193,Active,Sensory,Global,Visual,3,3,3,4,3,4,2,3,4
194,Active,Sensory,Global,Visual,3,3,2,3,2,2,2,3,3
195,Reflective,Sensory,Global,Visual,4,3,4,3,4,2,3,2,2
196,Active,Sensory,Global,Visual,4,3,2,3,2,2,2,3,4
197,Active,Sensory,Sequential,Visual,3,3,2,3,4,2,3,3,3
198,Reflective,Sensory,Sequential,Visual,4,3,4,4,4,3,4,2,4
199,Reflective,Sensory,Sequential,Visual,3,3,3,4,2,3,4,2,3
200,Active,Sensory,Global,Visual,3,4,4,3,4,2,4,4,5
201,Reflective,Sensory,Sequential,Visual,3,4,3,3,2,3,3,4,4
202,Active,Sensory,Global,Visual,3,3,3,3,3,4,2,4,4
203,Active,Sensory,Sequential,Visual,4,4,3,3,2,4,3,3,4
204,Active,Intuitive,Global,Visual,3,3,3,4,4,2,4,3,4
205,Active,Sensory,Global,Visual,2,2,3,3,2,2,2,4,4
206,Active,Sensory,Sequential,Visual,3,3,3,4,3,4,3,2,5
207,Active,Sensory,Sequential,Visual,3,3,3,4,4,4,4,3,5
208,Reflective,Sensory,Global,Verbal,3,3,3,4,2,2,4,4,2
209,Active,Sensory,Sequential,Visual,3,3,3,4,2,2,3,3,4
210,Active,Sensory,Sequential,Visual,3,3,3,4,4,2,4,4,4
211,Active,Sensory,Global,Visual,3,3,3,4,2,1,4,2,5
212,Active,Intuitive,Global,Visual,4,4,4,3,3,2,4,4,4
213,Reflective,Intuitive,Sequential,Visual,3,3,3,3,3,3,4,4,2
214,Active,Sensory,Global,Visual,3,3,2,3,3,3,2,4,3
215,Active,Sensory,Sequential,Visual,2,2,3,2,3,5,3,4,3
216,Active,Sensory,Sequential,Visual,3,3,4,3,4,2,3,2,4
217,Active,Sensory,Sequential,Visual,2,2,2,2,2,2,2,3,2
218,Active,Sensory,Sequential,Visual,3,4,4,3,2,4,4,4,4
219,Active,Sensory,Global,Visual,4,4,3,3,4,2,2,4,3
220,Reflective,Intuitive,Global,Visual,3,4,4,3,2,4,3,4,2
221,Active,Sensory,Global,Verbal,3,4,4,4,2,2,5,4,3
222,Reflective,Intuitive,Global,Visual,2,3,3,2,2,4,3,2,4
223,Reflective,Intuitive,Sequential,Visual,2,3,3,2,2,3,3,4,2
224,Active,Sensory,Sequential,Visual,3,3,3,4,4,3,5,3,4
225,Active,Sensory,Sequential,Visual,3,3,3,3,2,2,4,4,4
226,Active,Sensory,Sequential,Visual,3,3,3,3,4,4,3,4,3
227,Reflective,Intuitive,Global,Visual,2,4,3,3,5,2,3,4,2
228,Active,Sensory,Global,Visual,3,3,3,4,4,4,3,3,4
229,Reflective,Intuitive,Sequential,Visual,2,3,2,2,2,2,3,4,4
230,Reflective,Intuitive,Global,Visual,3,3,3,3,1,4,3,2,4
231,Reflective,Intuitive,Sequential,Visual,3,3,4,4,3,4,3,4,4
232,Reflective,Intuitive,Global,Visual,3,3,3,4,4,1,4,4,4
233,Reflective,Intuitive,Global,Visual,3,3,3,3,3,2,4,4,4
234,Active,Sensory,Global,Visual,3,4,3,3,4,4,3,4,4
235,Reflective,Intuitive,Global,Visual,3,3,3,2,4,4,3,4,2
236,Active,Sensory,Global,Visual,3,3,3,3,3,4,3,4,4
237,Active,Sensory,Global,Visual,4,4,4,3,4,2,2,3,4
238,Reflective,Intuitive,Sequential,Visual,3,3,2,3,2,4,2,2,2
239,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
240,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
241,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
242,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
243,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
244,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
245,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
246,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
247,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
248,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
249,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
250,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
251,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
252,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
253,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
